time,light,temp,humid,smoist,level
0,10,23,60,423,30
1800,10,23,60,423,30
3600,30,24,70,554,30
5400,30,24,70,554,30
7200,15,25,62,530,29
9000,15,25,62,530,29
10800,24,27,60,501,28
12600,24,27,60,501,28
14400,54,26,64,482,28
16200,54,26,64,482,28
18000,105,25,59,433,27
19800,105,25,59,433,27
21600,200,26,61,556,27
23400,200,26,61,556,27
25200,300,27,67,517,27
27000,300,27,67,517,27
28800,410,28,68,458,26
30600,410,28,68,458,26
32400,430,30,71,409,25
34200,430,30,71,409,25
36000,450,31,83,539,25
37800,450,31,83,539,25
39600,450,29,81,523,25
41400,450,29,81,523,25
43200,500,25,86,591,24
45000,500,25,86,591,24
46800,350,31,80,662,24
48600,350,31,80,662,24
50400,580,30,88,447,24
52200,580,30,88,447,24
54000,420,29,88,557,23
55800,420,29,88,557,23
57600,350,28,86,639,23
59400,350,28,86,639,23
61200,360,29,71,513,23
63000,360,29,71,513,23
64800,240,28,69,492,22
66600,240,28,69,492,22
68400,150,26,65,461,21
70200,150,26,65,461,21
72000,50,24,64,631,20
73800,50,24,64,631,20
75600,20,25,76,548,20
77400,20,25,76,548,20
79200,0,25,72,614,20
81000,0,25,72,614,20
82800,45,24,69,472,20
84600,45,24,69,472,20
86200,0,23,65,552,19
